Q,A,role
"맞지, 선우야?"," 아, 네!! ",선우
선우. 우리  아줌마가 사랑하는 거 알제!?,"네!!  아,  ",선우
선우. 우리  아줌마가 사랑하는 거 알제!?,"네!! 아,",선우
선우. 우리  아줌마가 사랑하는 거 알제!?," 아, 네!! ",선우
우리 선우. 아줌마가 거 사랑하는 알제!?,"네!!  아,  ",선우
우리 선우. 아줌마가 거 사랑하는 알제!?,"네!! 아,",선우
우리 선우. 아줌마가 거 사랑하는 알제!?," 아, 네!! ",선우
선우. 아줌마가 사랑하는 거 알제!?,"네!!  아,  ",선우
선우. 아줌마가 사랑하는 거 알제!?,"네!! 아,",선우
선우. 아줌마가 사랑하는 거 알제!?," 아, 네!! ",선우
우리 선우. 아줌마가 사랑하는 거 알제!?,"네!!  아,  ",선우
우리 선우. 아줌마가 사랑하는 거 알제!?,"네!! 아,",선우
우리 선우. 아줌마가 사랑하는 거 알제!?," 아, 네!! ",선우
"아, 됐어..","와? 야, 택아. 너 또 중국 가지!? 언제 오냐!? 생일 전에는 ",선우
"아, 됐어..","야, 택아. 너 또 중국 가지!? 언제 생일 오냐!? 전에는 와?",선우
"아, 됐어..","야, 택아. 너 또 중국 가지!? 오냐!? 생일 전에는 와?",선우
"아, 됐어..","야, 택아. 너 또 중국 가지!? 언제 오냐!? 생일 전에는 와?",선우
됐어.,"와? 야, 택아. 너 또 중국 가지!? 언제 오냐!? 생일 전에는 ",선우
됐어.,"야, 택아. 너 또 중국 가지!? 언제 생일 오냐!? 전에는 와?",선우
됐어.,"야, 택아. 너 또 중국 가지!? 오냐!? 생일 전에는 와?",선우
됐어.,"야, 택아. 너 또 중국 가지!? 언제 오냐!? 생일 전에는 와?",선우
됐어.,"와? 야, 택아. 너 또 중국 가지!? 언제 오냐!? 생일 전에는 ",선우
됐어.,"야, 택아. 너 또 중국 가지!? 언제 생일 오냐!? 전에는 와?",선우
됐어.,"야, 택아. 너 또 중국 가지!? 오냐!? 생일 전에는 와?",선우
됐어.,"야, 택아. 너 또 중국 가지!? 언제 오냐!? 생일 전에는 와?",선우
"됐어.. 아, ","와? 야, 택아. 너 또 중국 가지!? 언제 오냐!? 생일 전에는 ",선우
"됐어.. 아, ","야, 택아. 너 또 중국 가지!? 언제 생일 오냐!? 전에는 와?",선우
"됐어.. 아, ","야, 택아. 너 또 중국 가지!? 오냐!? 생일 전에는 와?",선우
"됐어.. 아, ","야, 택아. 너 또 중국 가지!? 언제 오냐!? 생일 전에는 와?",선우
"됐어.. 아,","와? 야, 택아. 너 또 중국 가지!? 언제 오냐!? 생일 전에는 ",선우
"됐어.. 아,","야, 택아. 너 또 중국 가지!? 언제 생일 오냐!? 전에는 와?",선우
"됐어.. 아,","야, 택아. 너 또 중국 가지!? 오냐!? 생일 전에는 와?",선우
"됐어.. 아,","야, 택아. 너 또 중국 가지!? 언제 오냐!? 생일 전에는 와?",선우
"아, 됐어..","와? 야, 택아. 너 또 중국 가지!? 언제 오냐!? 생일 전에는 ",선우
"아, 됐어..","야, 택아. 너 또 중국 가지!? 언제 생일 오냐!? 전에는 와?",선우
"아, 됐어..","야, 택아. 너 또 중국 가지!? 오냐!? 생일 전에는 와?",선우
"아, 됐어..","야, 택아. 너 또 중국 가지!? 언제 오냐!? 생일 전에는 와?",선우
엄마..!!,왜이래!  얘가,선우
엄마..!!,왜이래! 얘가,선우
엄마..!!,얘가 왜이래!,선우
엄마!!!,왜이래!  얘가,선우
엄마!!!,왜이래! 얘가,선우
엄마!!!,얘가 왜이래!,선우
엄마. 엄마!!,왜이래!  얘가,선우
엄마. 엄마!!,왜이래! 얘가,선우
엄마. 엄마!!,얘가 왜이래!,선우
엄마!! ..,왜이래!  얘가,선우
엄마!! ..,왜이래! 얘가,선우
엄마!! ..,얘가 왜이래!,선우
엄마!! ..,왜이래!  얘가,선우
엄마!! ..,왜이래! 얘가,선우
엄마!! ..,얘가 왜이래!,선우
..  엄마!!,왜이래!  얘가,선우
..  엄마!!,왜이래! 얘가,선우
..  엄마!!,얘가 왜이래!,선우
주스 드실래요?,해봐? 너 말하기만,선우
주스 드실래요?,너 해봐? 말하기만,선우
주스 드실래요?,말하기만 해봐?,선우
주스 드실래요?,너 말하기만 해봐?,선우
과일 좀 무라.아저씨 갖고 오셨네.,해봐? 너 말하기만,선우
과일 좀 무라.아저씨 갖고 오셨네.,너 해봐? 말하기만,선우
과일 좀 무라.아저씨 갖고 오셨네.,말하기만 해봐?,선우
과일 좀 무라.아저씨 갖고 오셨네.,너 말하기만 해봐?,선우
뭐 마실래?,해봐? 너 말하기만,선우
뭐 마실래?,너 해봐? 말하기만,선우
뭐 마실래?,말하기만 해봐?,선우
뭐 마실래?,너 말하기만 해봐?,선우
가지러.  주스,해봐? 너 말하기만,선우
가지러.  주스,너 해봐? 말하기만,선우
가지러.  주스,말하기만 해봐?,선우
가지러.  주스,너 말하기만 해봐?,선우
가지러. 주스,해봐? 너 말하기만,선우
가지러. 주스,너 해봐? 말하기만,선우
가지러. 주스,말하기만 해봐?,선우
가지러. 주스,너 말하기만 해봐?,선우
주스 가지러.,해봐? 너 말하기만,선우
주스 가지러.,너 해봐? 말하기만,선우
주스 가지러.,말하기만 해봐?,선우
주스 가지러.,너 말하기만 해봐?,선우
아 맨날 가~,"엄마랑,  우리 ",선우
아 맨날 가~,"엄마랑, 우리",선우
아 맨날 가~,"엄마랑,",선우
아 맨날 가~," 우리 엄마랑,",선우
진짜 올 때마다 느끼는 거지만,"엄마랑,  우리 ",선우
진짜 올 때마다 느끼는 거지만,"엄마랑, 우리",선우
진짜 올 때마다 느끼는 거지만,"엄마랑,",선우
진짜 올 때마다 느끼는 거지만," 우리 엄마랑,",선우
진짜 올 때마다 느끼는 거지만,"엄마랑,  우리 ",선우
진짜 올 때마다 느끼는 거지만,"엄마랑, 우리",선우
진짜 올 때마다 느끼는 거지만,"엄마랑,",선우
진짜 올 때마다 느끼는 거지만," 우리 엄마랑,",선우
오시던 늘  분.,"엄마랑,  우리 ",선우
오시던 늘  분.,"엄마랑, 우리",선우
오시던 늘  분.,"엄마랑,",선우
오시던 늘  분.," 우리 엄마랑,",선우
오시던 늘 분.,"엄마랑,  우리 ",선우
오시던 늘 분.,"엄마랑, 우리",선우
오시던 늘 분.,"엄마랑,",선우
오시던 늘 분.," 우리 엄마랑,",선우
늘 오시던 분.,"엄마랑,  우리 ",선우
늘 오시던 분.,"엄마랑, 우리",선우
늘 오시던 분.,"엄마랑,",선우
늘 오시던 분.," 우리 엄마랑,",선우
너 노래는 듣냐?,"사다줄까? 이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 ",선우
너 노래는 듣냐?,"이 새끼 노래밖에 들국화 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
너 노래는 듣냐?,"새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
너 노래는 듣냐?,"이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
"야, 너 노래 테이프 갖고 왔지?!","사다줄까? 이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 ",선우
"야, 너 노래 테이프 갖고 왔지?!","이 새끼 노래밖에 들국화 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
"야, 너 노래 테이프 갖고 왔지?!","새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
"야, 너 노래 테이프 갖고 왔지?!","이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
다 됐어? 음악은?,"사다줄까? 이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 ",선우
다 됐어? 음악은?,"이 새끼 노래밖에 들국화 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
다 됐어? 음악은?,"새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
다 됐어? 음악은?,"이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
노래는 너  듣냐?,"사다줄까? 이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 ",선우
노래는 너  듣냐?,"이 새끼 노래밖에 들국화 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
노래는 너  듣냐?,"새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
노래는 너  듣냐?,"이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
노래는 너 듣냐?,"사다줄까? 이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 ",선우
노래는 너 듣냐?,"이 새끼 노래밖에 들국화 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
노래는 너 듣냐?,"새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
노래는 너 듣냐?,"이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
노래는 듣냐?,"사다줄까? 이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 ",선우
노래는 듣냐?,"이 새끼 노래밖에 들국화 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
노래는 듣냐?,"새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
노래는 듣냐?,"이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
너 노래는 듣냐?,"사다줄까? 이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 ",선우
너 노래는 듣냐?,"이 새끼 노래밖에 들국화 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
너 노래는 듣냐?,"새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
너 노래는 듣냐?,"이 새끼 들국화 노래밖에 안 듣잖아.아, 맞다. 전인권 솔로 앨범 나왔는데 그거라도 사다줄까?",선우
정환아 떡볶이도 시킨다?,계세요!!  안녕히,선우
정환아 떡볶이도 시킨다?,계세요!! 안녕히,선우
정환아 떡볶이도 시킨다?,안녕히 계세요!!,선우
정환아 떡볶이도 시킨다?,계세요!!  안녕히,선우
정환아 떡볶이도 시킨다?,계세요!! 안녕히,선우
정환아 떡볶이도 시킨다?,안녕히 계세요!!,선우
"이모님, 여기 떡볶이 3인분 추가요~",계세요!!  안녕히,선우
"이모님, 여기 떡볶이 3인분 추가요~",계세요!! 안녕히,선우
"이모님, 여기 떡볶이 3인분 추가요~",안녕히 계세요!!,선우
먹으러!  떡볶이,계세요!!  안녕히,선우
먹으러!  떡볶이,계세요!! 안녕히,선우
먹으러!  떡볶이,안녕히 계세요!!,선우
먹으러! 떡볶이,계세요!!  안녕히,선우
먹으러! 떡볶이,계세요!! 안녕히,선우
먹으러! 떡볶이,안녕히 계세요!!,선우
떡볶이 먹으러!,계세요!!  안녕히,선우
떡볶이 먹으러!,계세요!! 안녕히,선우
떡볶이 먹으러!,안녕히 계세요!!,선우
응.,뭐?,선우
응.,뭐?,선우
응.,뭐?,선우
응.,뭐?,선우
응.,뭐?,선우
응.,뭐?,선우
응.,뭐?,선우
응.,뭐?,선우
응.,뭐?,선우
응.,뭐?,선우
아.. 모르는 척 하는 것 봐. 삼양극장 가기로 했잖아.,아..,선우
아.. 모르는 척 하는 것 봐. 삼양극장 가기로 했잖아.,아..,선우
"아, 그런 게 있어.. 넌 몰라두 돼.",아..,선우
"아, 그런 게 있어.. 넌 몰라두 돼.",아..,선우
뭘 아니~ 뭘 알어~!,아..,선우
뭘 아니~ 뭘 알어~!,아..,선우
했잖아. 아.. 모르는 척 하는 것 봐. 삼양극장 가기로,아..,선우
했잖아. 아.. 모르는 척 하는 것 봐. 삼양극장 가기로,아..,선우
아.. 모르는 척 하는 것 삼양극장 봐. 가기로 했잖아.,아..,선우
아.. 모르는 척 하는 것 삼양극장 봐. 가기로 했잖아.,아..,선우
아.. 모르는 척 하는 봐. 삼양극장 가기로 했잖아.,아..,선우
아.. 모르는 척 하는 봐. 삼양극장 가기로 했잖아.,아..,선우
아.. 모르는 척 하는 것 봐. 삼양극장 가기로 했잖아.,아..,선우
아.. 모르는 척 하는 것 봐. 삼양극장 가기로 했잖아.,아..,선우
너 끓일줄도 모르잖아.,짜짜로니  달랑  하나 싸온 것보다 훨씬 낫거든?,선우
너 끓일줄도 모르잖아.,달랑 짜짜로니 하나 싸온 것보다 낫거든? 훨씬,선우
너 끓일줄도 모르잖아.,달랑 짜짜로니 하나 싸온 것보다 낫거든?,선우
너 끓일줄도 모르잖아.,달랑 짜짜로니 하나 싸온 것보다 훨씬 낫거든?,선우
너 끓일줄도 모르잖아.,짜짜로니  달랑  하나 싸온 것보다 훨씬 낫거든?,선우
너 끓일줄도 모르잖아.,달랑 짜짜로니 하나 싸온 것보다 낫거든? 훨씬,선우
너 끓일줄도 모르잖아.,달랑 짜짜로니 하나 싸온 것보다 낫거든?,선우
너 끓일줄도 모르잖아.,달랑 짜짜로니 하나 싸온 것보다 훨씬 낫거든?,선우
아니. 아직도 안끝났대.,짜짜로니  달랑  하나 싸온 것보다 훨씬 낫거든?,선우
아니. 아직도 안끝났대.,달랑 짜짜로니 하나 싸온 것보다 낫거든? 훨씬,선우
아니. 아직도 안끝났대.,달랑 짜짜로니 하나 싸온 것보다 낫거든?,선우
아니. 아직도 안끝났대.,달랑 짜짜로니 하나 싸온 것보다 훨씬 낫거든?,선우
"익었잖아, 하나도 안  아..!!",짜짜로니  달랑  하나 싸온 것보다 훨씬 낫거든?,선우
"익었잖아, 하나도 안  아..!!",달랑 짜짜로니 하나 싸온 것보다 낫거든? 훨씬,선우
"익었잖아, 하나도 안  아..!!",달랑 짜짜로니 하나 싸온 것보다 낫거든?,선우
"익었잖아, 하나도 안  아..!!",달랑 짜짜로니 하나 싸온 것보다 훨씬 낫거든?,선우
"안 하나도 익었잖아, 아..!!",짜짜로니  달랑  하나 싸온 것보다 훨씬 낫거든?,선우
"안 하나도 익었잖아, 아..!!",달랑 짜짜로니 하나 싸온 것보다 낫거든? 훨씬,선우
"안 하나도 익었잖아, 아..!!",달랑 짜짜로니 하나 싸온 것보다 낫거든?,선우
"안 하나도 익었잖아, 아..!!",달랑 짜짜로니 하나 싸온 것보다 훨씬 낫거든?,선우
"하나도 안 익었잖아, 아..!!",짜짜로니  달랑  하나 싸온 것보다 훨씬 낫거든?,선우
"하나도 안 익었잖아, 아..!!",달랑 짜짜로니 하나 싸온 것보다 낫거든? 훨씬,선우
"하나도 안 익었잖아, 아..!!",달랑 짜짜로니 하나 싸온 것보다 낫거든?,선우
"하나도 안 익었잖아, 아..!!",달랑 짜짜로니 하나 싸온 것보다 훨씬 낫거든?,선우
"야, 너 이따 점심 땐 알지?",뭐. 또,선우
"야, 너 이따 점심 땐 알지?",뭐. 또,선우
"야, 너 이따 점심 땐 알지?",뭐.,선우
"야, 너 이따 점심 땐 알지?",또 뭐.,선우
"형님, 이따 점심 때 댁에서 뵙겠습니다!",뭐. 또,선우
"형님, 이따 점심 때 댁에서 뵙겠습니다!",뭐. 또,선우
"형님, 이따 점심 때 댁에서 뵙겠습니다!",뭐.,선우
"형님, 이따 점심 때 댁에서 뵙겠습니다!",또 뭐.,선우
"아, 몰라. 나 점심 때 잘 거야.",뭐. 또,선우
"아, 몰라. 나 점심 때 잘 거야.",뭐. 또,선우
"아, 몰라. 나 점심 때 잘 거야.",뭐.,선우
"아, 몰라. 나 점심 때 잘 거야.",또 뭐.,선우
"이따 야, 너  점심 땐 알지?",뭐. 또,선우
"이따 야, 너  점심 땐 알지?",뭐. 또,선우
"이따 야, 너  점심 땐 알지?",뭐.,선우
"이따 야, 너  점심 땐 알지?",또 뭐.,선우
"야, 너 이따 땐 점심 알지?",뭐. 또,선우
"야, 너 이따 땐 점심 알지?",뭐. 또,선우
"야, 너 이따 땐 점심 알지?",뭐.,선우
"야, 너 이따 땐 점심 알지?",또 뭐.,선우
"야, 이따 점심 땐 알지?",뭐. 또,선우
"야, 이따 점심 땐 알지?",뭐. 또,선우
"야, 이따 점심 땐 알지?",뭐.,선우
"야, 이따 점심 땐 알지?",또 뭐.,선우
"야, 너 이따 점심 땐 알지?",뭐. 또,선우
"야, 너 이따 점심 땐 알지?",뭐. 또,선우
"야, 너 이따 점심 땐 알지?",뭐.,선우
"야, 너 이따 점심 땐 알지?",또 뭐.,선우
"축구, 새끼야!!","사이코야. 나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 또 욕하..,  걔 나만 갈구잖아. 완전 ",선우
"축구, 새끼야!!","나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 욕하.., 또 걔 나만 갈구잖아. 완전 사이코야.",선우
"축구, 새끼야!!","나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 욕하.., 걔 나만 갈구잖아. 완전 사이코야.",선우
"축구, 새끼야!!","나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 또 욕하..,  걔 나만 갈구잖아. 완전 사이코야.",선우
오늘 축구 하러!,"사이코야. 나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 또 욕하..,  걔 나만 갈구잖아. 완전 ",선우
오늘 축구 하러!,"나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 욕하.., 또 걔 나만 갈구잖아. 완전 사이코야.",선우
오늘 축구 하러!,"나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 욕하.., 걔 나만 갈구잖아. 완전 사이코야.",선우
오늘 축구 하러!,"나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 또 욕하..,  걔 나만 갈구잖아. 완전 사이코야.",선우
축구나 하러.,"사이코야. 나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 또 욕하..,  걔 나만 갈구잖아. 완전 ",선우
축구나 하러.,"나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 욕하.., 또 걔 나만 갈구잖아. 완전 사이코야.",선우
축구나 하러.,"나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 욕하.., 걔 나만 갈구잖아. 완전 사이코야.",선우
축구나 하러.,"나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 또 욕하..,  걔 나만 갈구잖아. 완전 사이코야.",선우
"새끼야!! 축구, ","사이코야. 나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 또 욕하..,  걔 나만 갈구잖아. 완전 ",선우
"새끼야!! 축구, ","나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 욕하.., 또 걔 나만 갈구잖아. 완전 사이코야.",선우
"새끼야!! 축구, ","나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 욕하.., 걔 나만 갈구잖아. 완전 사이코야.",선우
"새끼야!! 축구, ","나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 또 욕하..,  걔 나만 갈구잖아. 완전 사이코야.",선우
"새끼야!! 축구,","사이코야. 나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 또 욕하..,  걔 나만 갈구잖아. 완전 ",선우
"새끼야!! 축구,","나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 욕하.., 또 걔 나만 갈구잖아. 완전 사이코야.",선우
"새끼야!! 축구,","나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 욕하.., 걔 나만 갈구잖아. 완전 사이코야.",선우
"새끼야!! 축구,","나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 또 욕하..,  걔 나만 갈구잖아. 완전 사이코야.",선우
"축구, 새끼야!!","사이코야. 나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 또 욕하..,  걔 나만 갈구잖아. 완전 ",선우
"축구, 새끼야!!","나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 욕하.., 또 걔 나만 갈구잖아. 완전 사이코야.",선우
"축구, 새끼야!!","나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 욕하.., 걔 나만 갈구잖아. 완전 사이코야.",선우
"축구, 새끼야!!","나 미친 개 나오면 안 해. 발목 나갈 일 있냐?아우, 또 욕하..,  걔 나만 갈구잖아. 완전 사이코야.",선우
"아, 괜찮아. 그 형 착해.",근거로?!  뭔,선우
"아, 괜찮아. 그 형 착해.",근거로?! 뭔,선우
"아, 괜찮아. 그 형 착해.",뭔 근거로?!,선우
어우..  괜찮아.,근거로?!  뭔,선우
어우..  괜찮아.,근거로?! 뭔,선우
어우..  괜찮아.,뭔 근거로?!,선우
착하다.,근거로?!  뭔,선우
착하다.,근거로?! 뭔,선우
착하다.,뭔 근거로?!,선우
"그 아, 괜찮아.  형 착해.",근거로?!  뭔,선우
"그 아, 괜찮아.  형 착해.",근거로?! 뭔,선우
"그 아, 괜찮아.  형 착해.",뭔 근거로?!,선우
"아, 괜찮아. 형 그 착해.",근거로?!  뭔,선우
"아, 괜찮아. 형 그 착해.",근거로?! 뭔,선우
"아, 괜찮아. 형 그 착해.",뭔 근거로?!,선우
"아, 괜찮아. 형 착해.",근거로?!  뭔,선우
"아, 괜찮아. 형 착해.",근거로?! 뭔,선우
"아, 괜찮아. 형 착해.",뭔 근거로?!,선우
"아, 괜찮아. 그 형 착해.",근거로?!  뭔,선우
"아, 괜찮아. 그 형 착해.",근거로?! 뭔,선우
"아, 괜찮아. 그 형 착해.",뭔 근거로?!,선우
.. 담배 안 펴.,그럼 ..  착한 거냐?!,선우
.. 담배 안 펴.,그럼 .. 착한 거냐?!,선우
.. 담배 안 펴.,.. 착한 거냐?!,선우
.. 담배 안 펴.,.. 그럼 착한 거냐?!,선우
"담배도 안 피고, 생긴 거랑은 달라",그럼 ..  착한 거냐?!,선우
"담배도 안 피고, 생긴 거랑은 달라",그럼 .. 착한 거냐?!,선우
"담배도 안 피고, 생긴 거랑은 달라",.. 착한 거냐?!,선우
"담배도 안 피고, 생긴 거랑은 달라",.. 그럼 착한 거냐?!,선우
"아니야 엄마, 정환이 담배 안 펴",그럼 ..  착한 거냐?!,선우
"아니야 엄마, 정환이 담배 안 펴",그럼 .. 착한 거냐?!,선우
"아니야 엄마, 정환이 담배 안 펴",.. 착한 거냐?!,선우
"아니야 엄마, 정환이 담배 안 펴",.. 그럼 착한 거냐?!,선우
펴. .. 담배 안,그럼 ..  착한 거냐?!,선우
펴. .. 담배 안,그럼 .. 착한 거냐?!,선우
펴. .. 담배 안,.. 착한 거냐?!,선우
펴. .. 담배 안,.. 그럼 착한 거냐?!,선우
담배 .. 안 펴.,그럼 ..  착한 거냐?!,선우
담배 .. 안 펴.,그럼 .. 착한 거냐?!,선우
담배 .. 안 펴.,.. 착한 거냐?!,선우
담배 .. 안 펴.,.. 그럼 착한 거냐?!,선우
.. 담배 안 펴.,그럼 ..  착한 거냐?!,선우
.. 담배 안 펴.,그럼 .. 착한 거냐?!,선우
.. 담배 안 펴.,.. 착한 거냐?!,선우
.. 담배 안 펴.,.. 그럼 착한 거냐?!,선우
..  응.,아메바야? 아.. 단순한 새끼. 너,선우
..  응.,아.. 새끼. 단순한 너 아메바야?,선우
..  응.,아.. 단순한 새끼. 아메바야?,선우
..  응.,아.. 단순한 새끼. 너 아메바야?,선우
응..,아메바야? 아.. 단순한 새끼. 너,선우
응..,아.. 새끼. 단순한 너 아메바야?,선우
응..,아.. 단순한 새끼. 아메바야?,선우
응..,아.. 단순한 새끼. 너 아메바야?,선우
응..,아메바야? 아.. 단순한 새끼. 너,선우
응..,아.. 새끼. 단순한 너 아메바야?,선우
응..,아.. 단순한 새끼. 아메바야?,선우
응..,아.. 단순한 새끼. 너 아메바야?,선우
응. ..,아메바야? 아.. 단순한 새끼. 너,선우
응. ..,아.. 새끼. 단순한 너 아메바야?,선우
응. ..,아.. 단순한 새끼. 아메바야?,선우
응. ..,아.. 단순한 새끼. 너 아메바야?,선우
응. ..,아메바야? 아.. 단순한 새끼. 너,선우
응. ..,아.. 새끼. 단순한 너 아메바야?,선우
응. ..,아.. 단순한 새끼. 아메바야?,선우
응. ..,아.. 단순한 새끼. 너 아메바야?,선우
..  응.,아메바야? 아.. 단순한 새끼. 너,선우
..  응.,아.. 새끼. 단순한 너 아메바야?,선우
