Q,A,role
´Ù µÆ¾î.. Á»¸¸ ±â´Ù·Á.,"Æ¯°ø´ë 1ºÐ ³²¾Ò¾î, 1ºÐ!! ",µ¿·æ
³¡³µ°ÚÁö. ½Ã°£ÀÌ ¸î ½Åµ¥.,"1ºÐ Æ¯°ø´ë  ³²¾Ò¾î, !! ",µ¿·æ
³¡³µ°ÚÁö. ½Ã°£ÀÌ ¸î ½Åµ¥.,"Æ¯°ø´ë ³²¾Ò¾î, 1ºÐ 1ºÐ!!",µ¿·æ
³¡³µ°ÚÁö. ½Ã°£ÀÌ ¸î ½Åµ¥.,"Æ¯°ø´ë 1ºÐ ³²¾Ò¾î, 1ºÐ!! ",µ¿·æ
³¡³µ°ÚÁö. ½Ã°£ÀÌ ¸î ½Åµ¥.,"1ºÐ Æ¯°ø´ë  ³²¾Ò¾î, !! ",µ¿·æ
³¡³µ°ÚÁö. ½Ã°£ÀÌ ¸î ½Åµ¥.,"Æ¯°ø´ë ³²¾Ò¾î, 1ºÐ 1ºÐ!!",µ¿·æ
³¡³µ°ÚÁö. ½Ã°£ÀÌ ¸î ½Åµ¥.,"Æ¯°ø´ë 1ºÐ ³²¾Ò¾î, 1ºÐ!! ",µ¿·æ
¾Ë¾Ò¾î~ ¾Æ  ½Ã°£ ¸¹ÀÌ ³²¾Ò¾î!,"1ºÐ Æ¯°ø´ë  ³²¾Ò¾î, !! ",µ¿·æ
¾Ë¾Ò¾î~ ¾Æ  ½Ã°£ ¸¹ÀÌ ³²¾Ò¾î!,"Æ¯°ø´ë ³²¾Ò¾î, 1ºÐ 1ºÐ!!",µ¿·æ
¾Ë¾Ò¾î~ ¾Æ  ½Ã°£ ¸¹ÀÌ ³²¾Ò¾î!,"Æ¯°ø´ë 1ºÐ ³²¾Ò¾î, 1ºÐ!! ",µ¿·æ
¾Æ ½Ã°£ ¾Ë¾Ò¾î~ ¸¹ÀÌ ³²¾Ò¾î!,"1ºÐ Æ¯°ø´ë  ³²¾Ò¾î, !! ",µ¿·æ
¾Æ ½Ã°£ ¾Ë¾Ò¾î~ ¸¹ÀÌ ³²¾Ò¾î!,"Æ¯°ø´ë ³²¾Ò¾î, 1ºÐ 1ºÐ!!",µ¿·æ
¾Æ ½Ã°£ ¾Ë¾Ò¾î~ ¸¹ÀÌ ³²¾Ò¾î!,"Æ¯°ø´ë 1ºÐ ³²¾Ò¾î, 1ºÐ!! ",µ¿·æ
¾Ë¾Ò¾î~ ½Ã°£ ¸¹ÀÌ ³²¾Ò¾î!,"1ºÐ Æ¯°ø´ë  ³²¾Ò¾î, !! ",µ¿·æ
¾Ë¾Ò¾î~ ½Ã°£ ¸¹ÀÌ ³²¾Ò¾î!,"Æ¯°ø´ë ³²¾Ò¾î, 1ºÐ 1ºÐ!!",µ¿·æ
¾Ë¾Ò¾î~ ½Ã°£ ¸¹ÀÌ ³²¾Ò¾î!,"Æ¯°ø´ë 1ºÐ ³²¾Ò¾î, 1ºÐ!! ",µ¿·æ
¾Æ ¾Ë¾Ò¾î~ ½Ã°£ ¸¹ÀÌ ³²¾Ò¾î!,"1ºÐ Æ¯°ø´ë  ³²¾Ò¾î, !! ",µ¿·æ
¾Æ ¾Ë¾Ò¾î~ ½Ã°£ ¸¹ÀÌ ³²¾Ò¾î!,"Æ¯°ø´ë ³²¾Ò¾î, 1ºÐ 1ºÐ!!",µ¿·æ
¾Æ ¾Ë¾Ò¾î~ ½Ã°£ ¸¹ÀÌ ³²¾Ò¾î!,"Æ¯°ø´ë 1ºÐ ³²¾Ò¾î, 1ºÐ!! ",µ¿·æ
´Ù³à¿Ô½À´Ï´Ù.,´Ù³à¿Ô½À´Ï´Ù.,µ¿·æ
´Ù³à¿Ô½À´Ï´Ù.,´Ù³à¿Ô½À´Ï´Ù.,µ¿·æ
´Ù³à¿Ô½À´Ï´Ù.,´Ù³à¿Ô½À´Ï´Ù.,µ¿·æ
´Ù³à¿Ô½À´Ï´Ù.,´Ù³à¿Ô½À´Ï´Ù.,µ¿·æ
´Ù³à¿Ô½À´Ï´Ù.,´Ù³à¿Ô½À´Ï´Ù.,µ¿·æ
´Ù³à¿Ô½À´Ï´Ù.,´Ù³à¿Ô½À´Ï´Ù.,µ¿·æ
´Ù³à¿Ô½À´Ï´Ù.,´Ù³à¿Ô½À´Ï´Ù.,µ¿·æ
´Ù³à¿Ô½À´Ï´Ù.,´Ù³à¿Ô½À´Ï´Ù.,µ¿·æ
´Ù³à¿Ô½À´Ï´Ù.,´Ù³à¿Ô½À´Ï´Ù.,µ¿·æ
´Ù³à¿Ô½À´Ï´Ù.,´Ù³à¿Ô½À´Ï´Ù.,µ¿·æ
±¦Âú¾Æ.,"ÀÌ ¾ß,  »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, ÀÌ »õ³¢ ¾ó±¼ ÇÏ¾á ºÁ, °Å ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, ÀÌ »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"ÀÌ ¾ß,  »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, ÀÌ »õ³¢ ¾ó±¼ ÇÏ¾á ºÁ, °Å ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, ÀÌ »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"ÀÌ ¾ß,  »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, ÀÌ »õ³¢ ¾ó±¼ ÇÏ¾á ºÁ, °Å ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, ÀÌ »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"ÀÌ ¾ß,  »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, ÀÌ »õ³¢ ¾ó±¼ ÇÏ¾á ºÁ, °Å ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, ÀÌ »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"ÀÌ ¾ß,  »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, ÀÌ »õ³¢ ¾ó±¼ ÇÏ¾á ºÁ, °Å ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
±¦Âú¾Æ.,"¾ß, ÀÌ »õ³¢ ¾ó±¼ ÇÏ¾á °Å ºÁ, ¾ß.¸Ç³¯ ±â¿ø¿¡¸¸ ÀÖÁö ¸»°í ¿îµ¿ Á» ÇØ. ÀÀ?",µ¿·æ
µÆ¾î.. ÅÃÀÌÇÑÅ× »ç´Þ¶ó ±×·² °Å¾ß.,´Ù¸£ÀÝ¾Æ.¾ê ¾ê´Â »çÀÌÁî°¡  Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
µÆ¾î.. ÅÃÀÌÇÑÅ× »ç´Þ¶ó ±×·² °Å¾ß.,¾ê´Â »çÀÌÁî°¡ Áß±¹ ´Ù¸£ÀÝ¾Æ.¾ê °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
µÆ¾î.. ÅÃÀÌÇÑÅ× »ç´Þ¶ó ±×·² °Å¾ß.,¾ê´Â »çÀÌÁî°¡ ´Ù¸£ÀÝ¾Æ.¾ê Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"¾Æ, ÅÃÀÌÇÑÅ× ¿Ö ±×·¡!!!",´Ù¸£ÀÝ¾Æ.¾ê ¾ê´Â »çÀÌÁî°¡  Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"¾Æ, ÅÃÀÌÇÑÅ× ¿Ö ±×·¡!!!",¾ê´Â »çÀÌÁî°¡ Áß±¹ ´Ù¸£ÀÝ¾Æ.¾ê °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"¾Æ, ÅÃÀÌÇÑÅ× ¿Ö ±×·¡!!!",¾ê´Â »çÀÌÁî°¡ ´Ù¸£ÀÝ¾Æ.¾ê Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
´Ï°¡ ÅÃÀÌ°¡.,´Ù¸£ÀÝ¾Æ.¾ê ¾ê´Â »çÀÌÁî°¡  Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
´Ï°¡ ÅÃÀÌ°¡.,¾ê´Â »çÀÌÁî°¡ Áß±¹ ´Ù¸£ÀÝ¾Æ.¾ê °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
´Ï°¡ ÅÃÀÌ°¡.,¾ê´Â »çÀÌÁî°¡ ´Ù¸£ÀÝ¾Æ.¾ê Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"ÅÃÀÌÇÑÅ× ±×°É ¿Ö  ½ÃÄÑ, ´ÏµéÀÌ »ç ¸Ô¾î.",´Ù¸£ÀÝ¾Æ.¾ê ¾ê´Â »çÀÌÁî°¡  Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"ÅÃÀÌÇÑÅ× ±×°É ¿Ö  ½ÃÄÑ, ´ÏµéÀÌ »ç ¸Ô¾î.",¾ê´Â »çÀÌÁî°¡ Áß±¹ ´Ù¸£ÀÝ¾Æ.¾ê °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"ÅÃÀÌÇÑÅ× ±×°É ¿Ö  ½ÃÄÑ, ´ÏµéÀÌ »ç ¸Ô¾î.",¾ê´Â »çÀÌÁî°¡ ´Ù¸£ÀÝ¾Æ.¾ê Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"±×°É ¿Ö ½ÃÄÑ, ÅÃÀÌÇÑÅ× ´ÏµéÀÌ »ç ¸Ô¾î.",´Ù¸£ÀÝ¾Æ.¾ê ¾ê´Â »çÀÌÁî°¡  Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"±×°É ¿Ö ½ÃÄÑ, ÅÃÀÌÇÑÅ× ´ÏµéÀÌ »ç ¸Ô¾î.",¾ê´Â »çÀÌÁî°¡ Áß±¹ ´Ù¸£ÀÝ¾Æ.¾ê °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"±×°É ¿Ö ½ÃÄÑ, ÅÃÀÌÇÑÅ× ´ÏµéÀÌ »ç ¸Ô¾î.",¾ê´Â »çÀÌÁî°¡ ´Ù¸£ÀÝ¾Æ.¾ê Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"±×°É ÅÃÀÌÇÑÅ× ½ÃÄÑ, ´ÏµéÀÌ »ç ¸Ô¾î.",´Ù¸£ÀÝ¾Æ.¾ê ¾ê´Â »çÀÌÁî°¡  Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"±×°É ÅÃÀÌÇÑÅ× ½ÃÄÑ, ´ÏµéÀÌ »ç ¸Ô¾î.",¾ê´Â »çÀÌÁî°¡ Áß±¹ ´Ù¸£ÀÝ¾Æ.¾ê °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"±×°É ÅÃÀÌÇÑÅ× ½ÃÄÑ, ´ÏµéÀÌ »ç ¸Ô¾î.",¾ê´Â »çÀÌÁî°¡ ´Ù¸£ÀÝ¾Æ.¾ê Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"±×°É ¿Ö ÅÃÀÌÇÑÅ× ½ÃÄÑ, ´ÏµéÀÌ »ç ¸Ô¾î.",´Ù¸£ÀÝ¾Æ.¾ê ¾ê´Â »çÀÌÁî°¡  Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"±×°É ¿Ö ÅÃÀÌÇÑÅ× ½ÃÄÑ, ´ÏµéÀÌ »ç ¸Ô¾î.",¾ê´Â »çÀÌÁî°¡ Áß±¹ ´Ù¸£ÀÝ¾Æ.¾ê °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
"±×°É ¿Ö ÅÃÀÌÇÑÅ× ½ÃÄÑ, ´ÏµéÀÌ »ç ¸Ô¾î.",¾ê´Â »çÀÌÁî°¡ ´Ù¸£ÀÝ¾Æ.¾ê Áß±¹ °¬´Ù ¿À¸é Ç×»ó ºñ½Ñ ¼ú ¹Þ´Â´Ü ¸»ÀÌ¾ß.,µ¿·æ
¾Æ...,ÃÊ´ë°¡¼ö ¿À´Ã  ´©±¸³Ä!?,µ¿·æ
¾Æ...,ÃÊ´ë°¡¼ö ¿À´Ã ´©±¸³Ä!?,µ¿·æ
¾Æ...,¿À´Ã ÃÊ´ë°¡¼ö ´©±¸³Ä!?,µ¿·æ
¿¡ÈÞ..,ÃÊ´ë°¡¼ö ¿À´Ã  ´©±¸³Ä!?,µ¿·æ
¿¡ÈÞ..,ÃÊ´ë°¡¼ö ¿À´Ã ´©±¸³Ä!?,µ¿·æ
¿¡ÈÞ..,¿À´Ã ÃÊ´ë°¡¼ö ´©±¸³Ä!?,µ¿·æ
¾Æ..,ÃÊ´ë°¡¼ö ¿À´Ã  ´©±¸³Ä!?,µ¿·æ
¾Æ..,ÃÊ´ë°¡¼ö ¿À´Ã ´©±¸³Ä!?,µ¿·æ
¾Æ..,¿À´Ã ÃÊ´ë°¡¼ö ´©±¸³Ä!?,µ¿·æ
½ÃÀÛÇß´Ù.  ¾îÈÞ.. ¶Ç,ÃÊ´ë°¡¼ö ¿À´Ã  ´©±¸³Ä!?,µ¿·æ
½ÃÀÛÇß´Ù.  ¾îÈÞ.. ¶Ç,ÃÊ´ë°¡¼ö ¿À´Ã ´©±¸³Ä!?,µ¿·æ
½ÃÀÛÇß´Ù.  ¾îÈÞ.. ¶Ç,¿À´Ã ÃÊ´ë°¡¼ö ´©±¸³Ä!?,µ¿·æ
¶Ç ¾îÈÞ.. ½ÃÀÛÇß´Ù.,ÃÊ´ë°¡¼ö ¿À´Ã  ´©±¸³Ä!?,µ¿·æ
¶Ç ¾îÈÞ.. ½ÃÀÛÇß´Ù.,ÃÊ´ë°¡¼ö ¿À´Ã ´©±¸³Ä!?,µ¿·æ
¶Ç ¾îÈÞ.. ½ÃÀÛÇß´Ù.,¿À´Ã ÃÊ´ë°¡¼ö ´©±¸³Ä!?,µ¿·æ
¾îÈÞ.. ½ÃÀÛÇß´Ù.,ÃÊ´ë°¡¼ö ¿À´Ã  ´©±¸³Ä!?,µ¿·æ
¾îÈÞ.. ½ÃÀÛÇß´Ù.,ÃÊ´ë°¡¼ö ¿À´Ã ´©±¸³Ä!?,µ¿·æ
¾îÈÞ.. ½ÃÀÛÇß´Ù.,¿À´Ã ÃÊ´ë°¡¼ö ´©±¸³Ä!?,µ¿·æ
¾îÈÞ.. ¶Ç ½ÃÀÛÇß´Ù.,ÃÊ´ë°¡¼ö ¿À´Ã  ´©±¸³Ä!?,µ¿·æ
¾îÈÞ.. ¶Ç ½ÃÀÛÇß´Ù.,ÃÊ´ë°¡¼ö ¿À´Ã ´©±¸³Ä!?,µ¿·æ
¾îÈÞ.. ¶Ç ½ÃÀÛÇß´Ù.,¿À´Ã ÃÊ´ë°¡¼ö ´©±¸³Ä!?,µ¿·æ
±×·¡. Áß±¹ °¡±â Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,°¡±â ±×·¡. Áß±¹  Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
±×·¡. Áß±¹ °¡±â Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,±×·¡. °¡±â Áß±¹ Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
±×·¡. Áß±¹ °¡±â Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,±×·¡. Áß±¹ °¡±â Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
³Ê Áß±¹°¡±â Àü¿¡ ¾ÖµéÀÌ¶û Á» ³îÀÚ,°¡±â ±×·¡. Áß±¹  Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
³Ê Áß±¹°¡±â Àü¿¡ ¾ÖµéÀÌ¶û Á» ³îÀÚ,±×·¡. °¡±â Áß±¹ Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
³Ê Áß±¹°¡±â Àü¿¡ ¾ÖµéÀÌ¶û Á» ³îÀÚ,±×·¡. Áß±¹ °¡±â Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
"±×·³ ³»°¡, ³Ê µû¶ó Áß±¹ µé¾î°¡¾ß µÉ ÅÙµ¥..?",°¡±â ±×·¡. Áß±¹  Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
"±×·³ ³»°¡, ³Ê µû¶ó Áß±¹ µé¾î°¡¾ß µÉ ÅÙµ¥..?",±×·¡. °¡±â Áß±¹ Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
"±×·³ ³»°¡, ³Ê µû¶ó Áß±¹ µé¾î°¡¾ß µÉ ÅÙµ¥..?",±×·¡. Áß±¹ °¡±â Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
ÇØ. ±×·¡. Áß±¹ °¡±â Àü¿¡ ¹Ì¸® ¾ê±â,°¡±â ±×·¡. Áß±¹  Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
ÇØ. ±×·¡. Áß±¹ °¡±â Àü¿¡ ¹Ì¸® ¾ê±â,±×·¡. °¡±â Áß±¹ Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
ÇØ. ±×·¡. Áß±¹ °¡±â Àü¿¡ ¹Ì¸® ¾ê±â,±×·¡. Áß±¹ °¡±â Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
±×·¡. Áß±¹ Àü¿¡ °¡±â ¹Ì¸® ¾ê±â ÇØ.,°¡±â ±×·¡. Áß±¹  Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
±×·¡. Áß±¹ Àü¿¡ °¡±â ¹Ì¸® ¾ê±â ÇØ.,±×·¡. °¡±â Áß±¹ Àü¿¡ ¹Ì¸® ¾ê±â ÇØ.,µ¿·æ
